epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9096,1.99777,2.83855,1.36685,0.62874,0.36674,0.3987,0.16599,1.99182,2.31712,1.33504,0.000551392,0.000551392,0.000551392
2,33.4963,1.92836,2.12827,1.31518,0.60198,0.38176,0.43818,0.19268,1.86891,2.23162,1.32999,0.00099746,0.00099746,0.00099746
3,50.2282,1.91119,2.07371,1.31094,0.7009,0.44698,0.49844,0.21933,2.07678,1.85743,1.42596,0.00133351,0.00133351,0.00133351
4,66.0616,1.91065,1.92685,1.31968,0.59511,0.41176,0.46339,0.21821,1.90153,1.76262,1.41068,0.0011719,0.0011719,0.0011719
5,80.0209,1.80562,1.72366,1.26448,0.70294,0.53513,0.5514,0.25882,1.92668,1.47171,1.33441,0.00100687,0.00100687,0.00100687
6,96.3197,1.73212,1.59591,1.25412,0.79845,0.50761,0.57099,0.28487,1.78151,1.43976,1.30093,0.000841835,0.000841835,0.000841835
7,112.819,1.65572,1.47583,1.19006,0.88137,0.52296,0.61367,0.28565,1.90384,1.28954,1.27252,0.000676802,0.000676802,0.000676802
8,127.955,1.61953,1.41959,1.16027,0.94563,0.55467,0.62889,0.32247,1.771,1.32746,1.23574,0.000511769,0.000511769,0.000511769
9,142.519,1.56192,1.30472,1.13598,0.8181,0.59972,0.6497,0.32564,1.76259,1.19492,1.21133,0.000346736,0.000346736,0.000346736
10,158.707,1.49572,1.22129,1.1113,0.9317,0.57858,0.66071,0.31918,1.8641,1.09588,1.23468,0.000181703,0.000181703,0.000181703
