epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7056,2.05698,2.86999,1.41033,0.45486,0.35837,0.31566,0.13155,1.97648,2.08965,1.41515,0.000551392,0.000551392,0.000551392
2,37.3484,1.91484,2.13447,1.34425,0.56367,0.38408,0.38858,0.17453,1.88886,2.1782,1.37238,0.00107053,0.00107053,0.00107053
3,54.4325,1.89862,2.0046,1.3263,0.66618,0.33388,0.40275,0.19154,1.82461,2.10919,1.36204,0.00155299,0.00155299,0.00155299
4,71.3378,1.88058,1.87572,1.32598,0.5984,0.42928,0.48641,0.23118,1.89316,1.5858,1.41734,0.00150197,0.00150197,0.00150197
5,88.3119,1.85451,1.81144,1.29894,0.76346,0.40992,0.52534,0.24613,1.89738,2.32111,1.41445,0.00144696,0.00144696,0.00144696
6,105.306,1.80111,1.73009,1.29688,0.81855,0.44775,0.53061,0.27,1.7448,1.54713,1.30819,0.00139195,0.00139195,0.00139195
7,122.368,1.75055,1.64381,1.25672,0.7117,0.51578,0.5493,0.24327,1.83046,1.59417,1.30882,0.00133693,0.00133693,0.00133693
8,138.411,1.73462,1.60251,1.24461,0.69302,0.50578,0.50639,0.23602,1.7944,1.9161,1.30729,0.00128192,0.00128192,0.00128192
9,156.429,1.6816,1.53984,1.23172,0.87716,0.5067,0.5853,0.26828,1.96433,1.43941,1.33171,0.00122691,0.00122691,0.00122691
10,172.739,1.66439,1.49493,1.2157,0.81238,0.55283,0.60401,0.278,2.04118,1.33523,1.43455,0.0011719,0.0011719,0.0011719
11,189.422,1.65126,1.48282,1.20092,0.79503,0.57457,0.60828,0.2716,1.90377,1.43627,1.33659,0.00111689,0.00111689,0.00111689
12,206.522,1.62037,1.43352,1.1987,0.89632,0.49404,0.60088,0.3162,1.7636,1.24148,1.37953,0.00106188,0.00106188,0.00106188
13,221.626,1.62517,1.41879,1.20062,0.89777,0.51871,0.60344,0.3048,1.86625,1.28232,1.30963,0.00100687,0.00100687,0.00100687
14,238.052,1.57727,1.36065,1.17678,0.86319,0.53476,0.58733,0.26568,1.93781,1.47145,1.33894,0.000951857,0.000951857,0.000951857
15,255.577,1.58056,1.35973,1.16549,0.75888,0.58365,0.61912,0.31226,1.80061,1.26496,1.29128,0.000896846,0.000896846,0.000896846
16,271.987,1.53161,1.26876,1.14641,0.96596,0.48771,0.58731,0.29781,1.9048,1.37516,1.37507,0.000841835,0.000841835,0.000841835
17,289.487,1.53438,1.2679,1.14494,0.84096,0.53476,0.59352,0.30734,1.80428,1.25228,1.3182,0.000786824,0.000786824,0.000786824
